2019.07.10 11:31:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile web/Sonar way
2019.07.10 11:31:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile xml/Sonar way
2019.07.10 11:31:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile flex/Sonar way
2019.07.10 11:31:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Sonar way
2019.07.10 11:31:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/PSR-2
2019.07.10 11:31:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Drupal
2019.07.10 11:31:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile vbnet/Sonar way
2019.07.10 11:31:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way
2019.07.10 11:31:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way recommended
2019.07.10 11:31:22 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2019.07.10 11:31:22 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2019.07.10 11:31:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@7d6049f6 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/properties*, ...]}]
2019.07.10 11:31:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@56daff45 [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2019.07.10 11:31:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@42f4b31e [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2019.07.10 11:31:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@582d2184 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2019.07.10 11:31:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@5d6a5162 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2019.07.10 11:31:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@5a013d2 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2019.07.10 11:31:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@3bd5fe50 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2019.07.10 11:31:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@bc5f6d8 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2019.07.10 11:31:22 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/rule/activeRule] ...
2019.07.10 11:31:27 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/rule/activeRule] done | time=5150ms
2019.07.10 11:31:27 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/rule],[rules/rule/ruleExtension] ...
2019.07.10 11:31:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/rule],[rules/rule/ruleExtension] done | time=7954ms
2019.07.10 11:31:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] ...
2019.07.10 11:31:36 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] done | time=1460ms
2019.07.10 11:31:36 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component] ...
2019.07.10 11:31:37 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component] done | time=272ms
2019.07.10 11:31:37 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] ...
2019.07.10 11:31:37 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] done | time=468ms
2019.07.10 11:31:37 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/auth/issue] ...
2019.07.10 11:31:37 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/auth/issue] done | time=232ms
2019.07.10 11:31:37 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth] ...
2019.07.10 11:31:38 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth] done | time=806ms
2019.07.10 11:31:38 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure] ...
2019.07.10 11:31:39 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure] done | time=444ms
2019.07.10 11:31:39 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is enabled.
2019.07.10 11:31:39 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2019.07.10 11:31:39 INFO  web[][o.s.s.p.Platform] WebServer is operational
2019.07.10 11:31:40 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning will be disabled as there are no more projects in warning.
